task,instruction,offset_cm,yaw_deg,episode,direction,reached_start_pose,start_pose_err_cm,move_steps,success,steps,wall_sec
1,put the bowl on the stove,0.0,0.0,0,"[-0.314, -0.475, 0.822]",True,0.05,5,True,87,16.9
1,put the bowl on the stove,0.0,0.0,1,"[0.855, -0.124, 0.503]",True,0.07,5,True,95,21.2
1,put the bowl on the stove,0.0,0.0,2,"[0.061, -0.925, 0.375]",True,0.01,5,True,93,21.7
1,put the bowl on the stove,0.0,0.0,3,"[-0.816, -0.096, 0.569]",True,0.02,5,True,89,18.2
1,put the bowl on the stove,0.0,0.0,4,"[0.097, -0.448, 0.889]",True,0.02,5,True,81,16.4
1,put the bowl on the stove,0.0,0.0,5,"[-0.902, -0.23, 0.366]",True,0.01,5,True,89,15.3
1,put the bowl on the stove,0.0,0.0,6,"[0.496, -0.848, 0.186]",True,0.01,5,True,92,17.7
1,put the bowl on the stove,0.0,0.0,7,"[-0.645, -0.763, 0.038]",True,0.09,5,True,95,15.8
1,put the bowl on the stove,0.0,0.0,8,"[-0.267, -0.629, 0.73]",True,0.0,5,True,83,12.3
1,put the bowl on the stove,0.0,0.0,9,"[0.504, 0.828, 0.247]",True,0.02,5,True,91,13.0
1,put the bowl on the stove,0.0,10.0,0,"[-0.314, -0.475, 0.822]",True,0.09,11,True,81,17.0
1,put the bowl on the stove,0.0,10.0,1,"[0.855, -0.124, 0.503]",True,0.1,11,True,80,13.3
1,put the bowl on the stove,0.0,10.0,2,"[0.061, -0.925, 0.375]",True,0.08,11,True,82,11.7
1,put the bowl on the stove,0.0,10.0,3,"[-0.816, -0.096, 0.569]",True,0.09,11,True,85,14.9
1,put the bowl on the stove,0.0,10.0,4,"[0.097, -0.448, 0.889]",True,0.09,11,True,74,14.4
1,put the bowl on the stove,0.0,10.0,5,"[-0.902, -0.23, 0.366]",True,0.09,11,False,300,43.4
1,put the bowl on the stove,0.0,10.0,6,"[0.496, -0.848, 0.186]",True,0.09,11,True,86,15.1
1,put the bowl on the stove,0.0,10.0,7,"[-0.645, -0.763, 0.038]",True,0.11,11,True,89,11.6
1,put the bowl on the stove,0.0,10.0,8,"[-0.267, -0.629, 0.73]",True,0.08,11,False,300,39.5
1,put the bowl on the stove,0.0,10.0,9,"[0.504, 0.828, 0.247]",True,0.08,11,True,84,16.6
1,put the bowl on the stove,0.0,20.0,0,"[-0.314, -0.475, 0.822]",True,0.16,14,False,300,42.9
1,put the bowl on the stove,0.0,20.0,1,"[0.855, -0.124, 0.503]",True,0.17,14,True,94,17.2
1,put the bowl on the stove,0.0,20.0,2,"[0.061, -0.925, 0.375]",True,0.18,14,True,95,18.0
1,put the bowl on the stove,0.0,20.0,3,"[-0.816, -0.096, 0.569]",True,0.17,14,True,95,13.5
1,put the bowl on the stove,0.0,20.0,4,"[0.097, -0.448, 0.889]",True,0.19,14,False,300,38.5
1,put the bowl on the stove,0.0,20.0,5,"[-0.902, -0.23, 0.366]",True,0.19,14,False,300,37.8
1,put the bowl on the stove,0.0,20.0,6,"[0.496, -0.848, 0.186]",True,0.19,14,False,300,33.1
1,put the bowl on the stove,0.0,20.0,7,"[-0.645, -0.763, 0.038]",True,0.17,14,False,300,32.4
1,put the bowl on the stove,0.0,20.0,8,"[-0.267, -0.629, 0.73]",True,0.18,14,False,300,32.6
1,put the bowl on the stove,0.0,20.0,9,"[0.504, 0.828, 0.247]",True,0.18,14,False,300,32.0
1,put the bowl on the stove,0.0,30.0,0,"[-0.314, -0.475, 0.822]",True,0.22,17,False,300,44.9
1,put the bowl on the stove,0.0,30.0,1,"[0.855, -0.124, 0.503]",True,0.22,17,False,300,33.3
1,put the bowl on the stove,0.0,30.0,2,"[0.061, -0.925, 0.375]",True,0.24,17,False,300,32.6
1,put the bowl on the stove,0.0,30.0,3,"[-0.816, -0.096, 0.569]",True,0.23,17,False,300,32.4
1,put the bowl on the stove,0.0,30.0,4,"[0.097, -0.448, 0.889]",True,0.25,17,False,300,32.2
1,put the bowl on the stove,0.0,30.0,5,"[-0.902, -0.23, 0.366]",True,0.26,16,False,300,28.4
1,put the bowl on the stove,0.0,30.0,6,"[0.496, -0.848, 0.186]",True,0.26,16,False,300,24.5
1,put the bowl on the stove,0.0,30.0,7,"[-0.645, -0.763, 0.038]",True,0.21,17,False,300,24.4
1,put the bowl on the stove,0.0,30.0,8,"[-0.267, -0.629, 0.73]",True,0.24,17,False,300,24.3
