pair,switch_at,strategy,episode,switched,grasp_step,a_steps_before_switch,holding_at_switch,held_object,a_success,b_success,b_failure_type,a_completed_during_b,a_resume_success,both_success,drop,reaction_steps,jerk,wall_sec
1→5,grasp:20,blend,0,True,40,60,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,7,7.772708040585358,97.1
1→5,grasp:20,blend,1,True,48,68,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,7,11.960273562199918,98.1
1→5,grasp:20,blend,2,True,39,59,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,3,7.970701831991777,97.9
1→5,grasp:20,blend,3,True,38,58,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,9,10.632662285023502,96.8
1→5,grasp:20,blend,4,True,38,58,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,7,9.482730848827353,97.4
1→5,grasp:20,blend,5,True,41,61,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,7,11.80267600626009,97.4
1→5,grasp:20,blend,6,True,42,62,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,7,11.501482656723697,99.6
1→5,grasp:20,blend,7,True,42,62,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,7,9.755715517158432,89.8
1→5,grasp:20,blend,8,True,45,65,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,6,10.745628003230316,91.6
1→5,grasp:20,blend,9,True,43,63,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,8,9.595012006181202,97.0
1→5,grasp:20,flush,0,True,40,60,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,3,10.068109883852697,97.8
1→5,grasp:20,flush,1,True,48,68,True,akita_black_bowl_1,,True,,False,False,False,False,3,13.530450997845413,71.4
1→5,grasp:20,flush,2,True,40,60,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,3,10.145120737340353,98.4
1→5,grasp:20,flush,3,True,38,58,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,3,11.09472773426446,97.0
1→5,grasp:20,flush,4,True,38,58,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,4,10.880355076206692,97.4
1→5,grasp:20,flush,5,True,41,61,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,3,14.005773152033044,98.2
1→5,grasp:20,flush,6,True,42,62,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,3,13.764519343865079,98.0
1→5,grasp:20,flush,7,True,42,62,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,3,9.68929644390869,98.5
1→5,grasp:20,flush,8,True,45,65,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,3,12.575396578396816,88.2
1→5,grasp:20,flush,9,True,43,63,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,3,12.16017804519917,89.9
1→5,grasp:20,keep,0,True,40,60,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,3,10.068109883852697,97.9
1→5,grasp:20,keep,1,True,48,68,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,5,15.302174475465575,98.3
1→5,grasp:20,keep,2,True,39,59,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,3,10.541332483905334,96.7
1→5,grasp:20,keep,3,True,38,58,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,5,11.51895859983449,97.3
1→5,grasp:20,keep,4,True,38,58,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,6,10.836264605718405,96.3
1→5,grasp:20,keep,5,True,41,61,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,12,13.462513929702165,98.1
1→5,grasp:20,keep,6,True,42,62,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,11,12.132678530274957,98.8
1→5,grasp:20,keep,7,True,42,62,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,11,9.92948263174049,88.1
1→5,grasp:20,keep,8,True,45,65,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,8,11.95654175002756,98.9
1→5,grasp:20,keep,9,True,43,63,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,10,9.838425182704503,90.3
1→5,grasp:20,none,0,True,40,60,True,akita_black_bowl_1,True,,,,,,False,,4.819156957191262,12.4
1→5,grasp:20,none,1,True,48,68,True,akita_black_bowl_1,True,,,,,,False,,9.772703370341501,13.4
1→5,grasp:20,none,2,True,40,60,True,akita_black_bowl_1,True,,,,,,False,,7.894387865069852,12.1
1→5,grasp:20,none,3,True,38,58,True,akita_black_bowl_1,True,,,,,,False,,6.886214309395749,14.1
1→5,grasp:20,none,4,True,38,58,True,akita_black_bowl_1,True,,,,,,False,,5.1557493818636235,12.0
1→5,grasp:20,none,5,True,41,61,True,akita_black_bowl_1,True,,,,,,False,,8.308095098580148,12.1
1→5,grasp:20,none,6,True,42,62,True,akita_black_bowl_1,True,,,,,,False,,8.577616121700823,12.1
1→5,grasp:20,none,7,True,42,62,True,akita_black_bowl_1,True,,,,,,False,,6.320180496980312,14.5
1→5,grasp:20,none,8,True,45,65,True,akita_black_bowl_1,True,,,,,,False,,6.291594822448697,12.0
1→5,grasp:20,none,9,True,43,63,True,akita_black_bowl_1,True,,,,,,False,,5.559586059280008,9.0
1→5,grasp:20,retreat,0,True,40,60,True,akita_black_bowl_1,,True,,False,False,False,False,3,3.5719822826828316,70.4
1→5,grasp:20,retreat,1,True,48,68,True,akita_black_bowl_1,,True,,False,True,True,False,3,3.8346584861696495,40.8
1→5,grasp:20,retreat,2,True,40,60,True,akita_black_bowl_1,,True,,False,False,False,False,3,3.793009550214883,70.4
1→5,grasp:20,retreat,3,True,38,58,True,akita_black_bowl_1,,True,,False,True,True,False,3,3.779735975294928,43.8
